groot;big
goedkoop;cheap
jong;young
maar;but
vers;fresh
duur;expensive
dik;fat
dun;thin
niuew;new
snel;fast
langzaam;slow
lekker;tasty
vies;soiled
zwaar;dark
licht;light
zijn;to be
hebben;to have
dichtbij;nearby
weg;far
Deze vrouw studeert;This woman studies
Die vrouw werkt;That woman works
Dit restaurant is duur;This restaurant is expensive
Dat restaurant is goedkoop;That restaurant is cheap
voetballen;football
Ik heb een kat;I have a cat
Ik ben taxichauffeur;I am taxi driver
Ik heb een auto;I have a car
Je bent student;You are student
Heb je een auto?;Do you have a car?
Jan is taxichauffeur;Jan is taxichauffeur
Hij heeft een witte auto;He has a white car
We zijn in Nederland;We are in the Netherlands
We hebben een huis;We have a house
Jullie zijn studenten;You are students
Jullie hebben boeken;You have books
Zikomo en Karin zijn thuis;Zikomo and Karin are home
Ze hebben een kind;She has a child
Ze hebben een kind;They have a child
nul;zero
een;one
twee;two
drie;three
vier;four
vijf;five
zes;six
zeven;seven
acht;eight
negen;nine
tien;ten
elf;eleven
twaalf;twelve
dertien;thirteen
veertien;fourteen
vijftien;fifteen
zestien;sixteen
zeventien;seventeen
achttien;eighteen
negentien;nineteen
twintig;twenty
eenentwintig;twenty-one
