het haar;hair
de neus;nose
de mond;mouth
de kin;chin
het oog;eye
het oor;ear
de wang;cheek
de lip;lip
de tong;tongue
de tand;tooth
de kies;molar
de nek;neck
de schouder;shoulder
de romp;torso
de arm;arm
de pols;wrist
de hand;hand
de vinger;finger
de borst;chest
de buik;stomach
de rug;back
de bil;bottom
het been;leg
de knie;knee
de enkel;ankle
de voet;foot
de teen;toe
vrouwen;women
mannen;men
huizen;houses
tafels;tables
vaders;fathers
kopjes;cups
auto's;cars
taxi's;taxies
prettig weekend!;have a nice weekend!
prettig;pretty
de kus;kiss
druk;busy
al;already
vriendinnetje;little girlfriend
erg;very
ne, ze is nog niet thuis;no, she is not home yet
nog;yet
het koekje;cookie
